ID,Code,Description,Principal,Principal ID,Sku Type,UOM,Inventory,P1,P2,P3,P4
956,SCG7,SUPER CRUNCH GREEN 7G,PFC,3,BUTAL,PACK,9928387,10.3450,10.4500,10.5600,10.8700
957,SCBL7,SUPER CRUNCH BLUE 7G,PFC,3,BUTAL,PACK,9959693,10.3500,10.4500,10.5600,10.8700
958,SCR7,SUPER CRUNC RED 7G,PFC,3,BUTAL,PACK,9960356,10.3500,10.4500,10.5600,10.8700
959,SCY7,SUPER CRUNCH YELLOW 7G,PFC,3,BUTAL,PACK,9998146,10.3500,10.4500,10.5600,10.8700
960,TCG7,TAGAY CHILI & GARLIC 7G,PFC,3,BUTAL,PACK,9972386,10.3500,10.4500,10.5600,10.8700
961,RCBBQ7,RED CHILI BBQ 7G,PFC,3,BUTAL,PACK,10000000,10.3500,10.4500,10.5600,10.8700
962,SCBBQ7,SWEET CHILI BBQ 7G,PFC,3,BUTAL,PACK,10000000,10.3500,10.4500,10.5600,10.8700
963,BCBBQ7,BACK CHILI BBQ 7G,PFC,3,BUTAL,PACK,10000000,10.3500,10.4500,10.5600,10.8700
964,HCL5,HITS CARAMEL 5G,PFC,3,BUTAL,PACK,10000000,10.3500,10.5600,10.5600,0.0000
965,HCC5,HITS CHOCOLATE 5G,PFC,3,BUTAL,PACK,10000000,10.3500,10.5600,10.5600,0.0000
966,HSS5,HITS STRAWBERRY 54G,PFC,3,BUTAL,PACK,10000000,10.3500,10.5600,10.5600,0.0000
967,IC5,IKASHI CUTTLEFISH 5G,PFC,3,BUTAL,PACK,10000000,17.4800,17.8300,17.8300,0.0000
968,ISS5,IKASHI SOY SAUCE 5G,PFC,3,BUTAL,PACK,10000000,21.2900,21.7200,21.7200,0.0000
969,RCBBQ55,RED CHILI BBQ 55G,PFC,3,BUTAL,PACK,10000000,73.1400,82.1800,74.6100,76.8000
970,SCBBQ55,SWEET CHILI BBQ 55G,PFC,3,BUTAL,PACK,10000000,73.1400,82.1800,74.6100,76.8000
971,BCBBQ55,BACK CHILI BBQ 55G,PFC,3,BUTAL,PACK,10000000,73.1400,82.1800,74.6100,76.8000
972,TCG55,TAGY CHILI & GARLIC 55G,PFC,3,BUTAL,PACK,9997010,73.1400,82.1800,74.6100,76.8000
973,YSH18,YIPYAP SPEEDY HOT 18G,PFC,3,BUTAL,PACK,9997360,20.7600,22.8700,21.1800,22.0300
974,YNC18,YIPYAP NACHO CHESE 18G,PFC,3,BUTAL,PACK,9998442,20.7600,22.8700,21.1800,22.0300
975,YS18,YIPYAP SWEETCORN 18G,PFC,3,BUTAL,PACK,9998061,20.7600,22.8700,21.1800,22.0300
976,YBP18,YIPYAP BLACK PEPPER 18G,PFC,3,BUTAL,PACK,10000000,20.7600,22.8700,20.1800,0.0000
977,SCCH5,SUPER CRUNCH CHEESE 55G,PFC,3,BUTAL,PACK,9992719,73.1400,82.1800,74.6100,76.8000
978,SCS55,SUPER CRUNCH SWEETCORN 55G,PFC,3,BUTAL,PACK,9984336,73.1400,82.1800,74.6100,76.8000
979,SCR5,SUPER CRUNCH RED 55G,PFC,3,BUTAL,PACK,9993083,73.1400,82.1800,74.6100,76.8000
980,SCCC5,SUPER CRUCNH CHEESE CHEDAR,PFC,3,BUTAL,PACK,9999762,73.1400,82.1800,74.6100,76.8000
981,SCC120,SUPER CRUNCH CHEESE 120G,PFC,3,BUTAL,PACK,9999994,16.5400,18.5600,16.8700,17.3700
982,SCG120,SUPER CRUNCH SWEETCORN 120G,PFC,3,BUTAL,PACK,9999550,16.5400,18.5600,16.8700,17.3700
983,BMC110,BIG MUNCH CHEESE 110G,PFC,3,BUTAL,PACK,10000000,0.0000,20.4400,20.4400,21.0400
